id|text|experiencer|emotion|target|cause|selected
24f76268|Dow books fourth straight weekly slide -- longest weekly skid since 2016|"[""dow""]"|surprise|"[[""books fourth straight weekly slide -- longest weekly skid since 2016""]]"|"[[""books fourth straight weekly slide -- longest weekly skid since 2016""]]"|True
29a54375|Dow takes 700-point nosedive as trade war escalates|"[""dow""]"|surprise|"[[""trade war""]]"|"[[""trade war""]]"|True
2a24a0ba|EU chief tries to sell top job nominees to hostile lawmakers|[]|disgust|[[]]|[[]]|True
3ff40f2a|El Salvador’s President Says His Country — Not Trump — Is Responsible For Migrant Deaths In Rio Grande|"[""el salvador’s president""]"|sadness|"[[""responsible for migrant deaths in rio grande""]]"|"[[""is responsible for migrant deaths in rio grande""]]"|True
cae7119f|Elizabeth Warren Lays Out a Theory of Change at First Democratic Debate|"[""elizabeth warren""]"|surprise|[[]]|"[[""theory of change at first democratic debate"",""lays out a theory of change at first democratic debate""]]"|True
ff6a6192|Enbridge Is Behind This Front Group Pushing the Company’s Line 3 Oil Pipeline|[]|surprise|"[[""enbridge"",""is behind this front group pushing the company’s line 3 oil pipeline""]]"|"[[""is behind this front group pushing the company’s line 3 oil pipeline""]]"|True
069f5c51|Equal pay for women’s soccer will require equal revenue|"[""women’s soccer""]"|surprise|"[[""equal pay for women’s soccer will require equal revenue""]]"|"[[""equal pay for women’s soccer will require equal revenue""]]"|True
7fec7aea|"Europe failed to act after the 2003 French heatwave. We cannot ignore this one | Ruben Hallali"|[]|sadness|"[[""act after the 2003 french""]]"|"[[""act after the 2003 french""]]"|True
58352e6e|FBI’s Leniency Toward Border Vigilante Contrasts With Harsh Treatment of “Black Identity Extremist”|"[""fbi""]"|disgust|"[[""border vigilante""]]"|"[[""contrasts with harsh treatment of “black identity extremist”""]]"|True
e94735da|Fifty Years After Stonewall, Many States Still Lack LGBTQ Protections|[]|sadness|"[[""many states still lack lgbtq protections""]]"|"[[""many states still lack lgbtq protections""]]"|True
70c615fa|Five numbers that explain US border crisis|[]|sadness|[[]]|"[[""five numbers that explain us border crisis"",""us border crisis""]]"|True
c53ac0f3|Former Trump associate accused of trying to launder stolen money through Trump company|"[""former trump associate""]"|surprise|"[[""trump""]]"|"[[""accused of trying to launder stolen money through trump company""]]"|True
7461aaf4|France Is The Latest Country To Authorize Killing People Who Aren’t Dying|"[""france""]"|disgust|"[[""killing people who aren’t dying""]]"|"[[""killing people who aren’t dying""]]"|True
eafe6d2d|Free Speech! White House Refuses to Sign New Zealand Censorship Call|[]|surprise|"[[""new zealand""]]"|"[[""free speech! white house refuses to sign new zealand censorship call""]]"|True
8d2835a3|Full Mueller report may have 'proof of bad deeds' and must be seen – Democrat|[]|surprise|"[[""proof of bad""]]"|"[[""proof of bad deeds' and must be seen – democrat""]]"|True
0a509fe8|Furious residents say property developer cut down forest without permission|"[""residents""]"|disgust|"[[""property developer cut down forest without permission""]]"|"[[""property developer cut down forest without permission""]]"|True
707159d4|Getting 'California Sober' Showed Me a Kinder, Gentler Way to Do Drugs|[]|surprise|"[[""showed me a kinder, gentler way to do drugs""]]"|"[[""showed me a kinder, gentler way to do drugs""]]"|True
5484000d|Giving Birth in the Wake of a Storm|[]|surprise|"[[""in the wake of a storm""]]"|"[[""giving birth in the wake of a storm""]]"|True
cda37d3d|Gold futures move up after earlier declines as U.S. stock indexes turn lower|[]|surprise|"[[""declines""],[""gold""]]"|"[[""declines""]]"|True
84687349|Greta Gerwig and Noah Baumbach Welcome Their First Child|"[""greta gerwig"",""greta gerwig and noah baumbach""]"|surprise|"[[""welcome their first child""]]"|"[[""welcome their first child""]]"|True
f57c837b|He donated his mother's body for Alzheimer's research — but it was sold to US Army, 'strapped in a chair,' and used for blast testing|[]|anger|[[]]|"[[""but it was sold to us army, 'strapped in a chair,' and used for blast testing""]]"|True
b0fb9dc7|Head of Program Profiling Muslims in Chicago Steps Down Amid Pressure|[]|surprise|[[]]|"[[""head of program profiling muslims in chicago steps down amid pressure""]]"|True
f89251ff|Holiday Inn owner to ditch mini toiletries from 5,000 hotels|[]|surprise|"[[""to ditch mini toiletries from""]]"|"[[""ditch mini toiletries from 5,000 hotels""]]"|True
ae1e09c5|House Conservatives Form New ‘Anti-Socialism Caucus’|[]|surprise|"[[""new ‘anti-socialism caucus’"",""house conservatives""]]"|"[[""new ‘anti-socialism caucus’""]]"|True
3ceb87c4|House Democrats thread the needle on impeachment in hometown town halls|"[""house democrats""]"|anger|"[[""impeachment in hometown town halls""]]"|"[[""impeachment in hometown town halls""]]"|True
0c37a8be|House to probe rise in hate crimes since Trump was elected|"[""house""]"|surprise|"[[""trump""]]"|"[[""probe rise in hate crimes since trump was elected""]]"|True
3784205c|I Make $1,000 a Week Writing Essays for Lazy Students|[]|surprise|"[[""lazy students""]]"|"[[""writing essays for lazy students""]]"|True
ea4b72e1|Illegal immigrant, 33, is charged in the shooting death of 28-year-old Oklahoma mother-of-one|"[""illegal immigrant""]"|surprise|"[[""shooting death of 28-year-old""],[""oklahoma""]]"|"[[""shooting death of 28-year-old""]]"|True
df779961|Immigrant children sent to Chicago shelters are traumatized and sick, sometimes with chicken pox or tuberculosis|[]|sadness|[[]]|"[[""sent to chicago shelters are traumatized and""]]"|True
c4e45761|Indian farmers shocked as suspected meteorite crashes into rice field|"[""indian farmers""]"|surprise|"[[""meteorite""]]"|"[[""suspected meteorite crashes into rice field""]]"|True
63b32cd1|Indigenous Tribe Wins Legal Battle Against Oil Companies, Preventing Drilling In The Rainforest|"[""indigenous tribe""]"|surprise|"[[""against oil companies, preventing drilling in the rainforest""]]"|"[[""against oil companies, preventing drilling in the rainforest""]]"|True
50241b92|Iowa Farmers Send Relief To Nebraska Flood Victims|"[""iowa farmers""]"|surprise|"[[""nebraska flood victims""]]"|"[[""nebraska flood victims""]]"|True
d47fa9e8|Iran Says US Cyber Attacks Failed, Hints at Possible Talks|"[""iran""]"|surprise|"[[""us""]]"|"[[""US Cyber Attacks Failed""]]"|True
c4c60482|Iran fails in attempt to ‘impede’ British oil tanker|"[""iran""]"|surprise|"[[""british oil tanker""]]"|"[[""iran fails in attempt to ‘impede’ british oil tanker""]]"|True
cf2ff5e5|It Will Cost $600,000 To Cover Up George Washington Mural That 'Traumatized' San Fran High School Students|[]|surprise|"[[""san fran high school students""]]"|"[[""san fran high school students""]]"|True
f702b216|It’s the End of the World as They Know It|[]|sadness|"[[""it’s the end of the world as they know it""]]"|"[[""it’s the end of the world as they know it""]]"|True
4c01f1c3|Jacinda Ardern Has Rewritten the Script for How a Nation Grieves After a Terrorist Attack|[]|sadness|"[[""how a nation grieves after a terrorist""]]"|"[[""how a nation grieves after a terrorist""]]"|True
5cdb5d7b|Japan Goes Back To Hunting Whales For First Time In 31 Years|[]|surprise|"[[""japan""]]"|[[]]|True
f1a2525c|Jimmy Carter: Trump ‘Didn’t Actually Win the Election’|"[""jimmy carter""]"|surprise|"[[""trump ‘didn’t actually win the election’""]]"|"[[""trump ‘didn’t actually win the election’""]]"|True
d52fede9|Journalist, 29, Shot Dead In Northern Ireland In 'Terrorist Incident’|"[""journalist, 29""]"|fear|"[[""in northern ireland in 'terrorist incident’""]]"|"[[""in northern ireland in 'terrorist incident’""]]"|True
4a16fa66|Kamala Harris Campaign Insists ‘She’s Been Very Clear’ on Health Care|"[""kamala harris""]"|surprise|"[[""health care""]]"|"[[""‘she’s been very clear’ on health care""]]"|True
71cc823e|Labour on course to sweep European elections|[]|surprise|[[]]|[[]]|True
8233dc38|Latino votes could swing the Democratic primary. And the candidates know it.|"[""latino""]"|fear|"[[""democratic""],[""and the candidates know it.""]]"|"[[""democratic""],[""and the candidates know it.""]]"|True
50052054|Lion Scalps 4-Year-Old Girl After She Gets Too Close To Fence On Big Cat Farm|"[""4-year-old girl""]"|surprise|"[[""fence on big cat farm""]]"|"[[""after she gets too close to fence on big cat farm""]]"|True
a27eb103|London to be ‘as hot as Barcelona’ by 2050|"[""london""]"|surprise|[[]]|"[[""‘as hot as barcelona’ by 2050""]]"|True
ed79df7e|Looks Like RedState Quietly Removed Another Conspiracy-Flavored Mueller Post|"[""redstate""]"|surprise|"[[""quietly removed another conspiracy-flavored mueller post""]]"|"[[""quietly removed another conspiracy-flavored mueller post""]]"|True
1a290737|Lord mayor opens Joe Lycett's new kitchen extension|"[""lord mayor""]"|surprise|[[]]|[[]]|True
5c85ec7c|Malaysia orders tonnes of imported waste to be returned|"[""malaysia""]"|surprise|"[[""malaysia""]]"|"[[""imported waste to be returned""]]"|True
e28e7251|Manchin knocks Barr: He should be focused on protecting the Constitution|"[""manchin"",""barr""]"|disgust|"[[""manchin"",""he should be focused on protecting the constitution""]]"|"[[""he should be focused on protecting the constitution""]]"|True
25204b8d|May warned indicative votes will leave UK with 'Auf Wiedersehen Pet' Brexit that 'no one wants'|"[""may""]"|surprise|"[[""with 'auf wiedersehen pet' brexit that 'no one wants'""],[""indicative votes""]]"|"[[""with 'auf wiedersehen pet' brexit that 'no one wants'""]]"|True
5ddb03e5|Mexican Cartels Fight for Control of Border State Prison|[]|anger|"[[""control of border state prison""]]"|"[[""control of border state prison""]]"|True
bb6034aa|Mohamed Morsi and the Passing of Egypt’s Democratic Moment|"[""mohamed morsi""]"|sadness|"[[""egypt’s""]]"|"[[""egypt’s democratic moment""]]"|True
784ee731|Muddying the Waters: ABC Reporter Misleads Viewers on AG Barr’s Testimony|"[""viewers""]"|surprise|"[[""abc reporter""]]"|"[[""misleads viewers on ag barr’s testimony"",""viewers on ag barr’s testimony""]]"|True
ec39bf90|Mueller punted big questions to a Congress ill-equipped to deal with them|"[""mueller""]"|surprise|"[[""punted big questions to a congress ill-equipped to deal with them""]]"|"[[""punted big questions to a congress ill-equipped to deal with them""]]"|True
cd7d5d9c|Nancy Pelosi, a Historically Great Speaker|"[""nancy pelosi""]"|surprise|"[[""historically great speaker""]]"|"[[""historically great speaker""]]"|True
63af0c90|Nationwide Demonstrations Announced to Protest Immigrant Detention Centers|[]|surprise|"[[""immigrant detention centers""]]"|"[[""immigrant detention""]]"|True
f40c8028|Nearly 500,000 people have signed up on Facebook for a proposed raid on Area 51 — vowing to ‘see them aliens’|[]|surprise|[[]]|[[]]|True
e3df8e73|Nobody Was A More Complete Russian Collusion Stooge Than The U.S. Media|[]|disgust|"[[""nobody was a more complete russian collusion stooge than the u.s. media""]]"|"[[""nobody was a more complete russian collusion stooge than the u.s. media""]]"|True
bae04df1|OH NOEZ! Alyssa Milano just totally doomed Amy McGrath’s entire campaign and all it took was ONE WORD|"[""alyssa milano""]"|surprise|"[[""amy mcgrath’s""],[""campaign""]]"|"[[""campaign""]]"|True
57929d4a|Party Organisers Describe the Weirdest Ways They've Seen People Smuggle in Drugs|"[""party organisers""]"|surprise|"[[""people smuggle in drugs""]]"|"[[""people smuggle in drugs""]]"|True
67d1f2b3|Pelosi hits Trump over use of 9/11 images to criticize Muslim lawmaker|"[""trump""]"|surprise|"[[""pelosi""]]"|"[[""over use of 9/11 images to criticize muslim lawmaker""]]"|True
312981f1|Pence Dodges Questions About Poor Conditions At Child Migrant Centers|"[""pence""]"|surprise|"[[""child migrant centers""]]"|"[[""poor conditions at child migrant centers""]]"|True
82c0b147|Ratio alert! KC paper’s spin for attack on Daily Wire’s Michael Knowles takes victim-blaming to the next level|[]|surprise|[[]]|[[]]|True
44ad423a|Record Number Of AFRICAN Migrants Are Now Showing Up At The U.S.-Mexico Border|[]|surprise|"[[""are now showing up at the u.s.-mexico border""]]"|"[[""are now showing up at the u.s.-mexico border""]]"|True
a1ab5ee0|Remember the South: Devastating Cyclone Idai Another Example of Global South Paying for Polluters|[]|fear|[[]]|"[[""global south paying for polluters""]]"|True
9c30451a|Republican rebellion over Mexico tariffs overshadows Trump’s European visit|"[""republican""]"|surprise|"[[""Mexico tariffs""]]"|"[[""overshadows trump’s european visit""]]"|True
babe635b|Republican-led Maryland commits to sweeping clean energy standards|[]|surprise|[[]]|"[[""energy standards""]]"|True
b5a5859a|Rubio says progressive Democrats are 'fully' American but 'political bullies'|"[""rubio""]"|surprise|"[[""'fully' american but 'political""]]"|"[[""progressive democrats are 'fully' american but 'political""]]"|True
137e6c4e|SAD TROMBONE: MSNBC Slams Dems for Not Bashing ‘Lord Voldemort’ Trump Enough|"[""msnbc""]"|surprise|"[[""dems""]]"|"[[""not bashing ‘lord voldemort’ trump enough""]]"|True
1ee35233|Sol Pais, Woman Wanted Over Columbine Threats, Is Dead|[]|fear|[[]]|[[]]|True
9fc2e7a5|Some Easy Ways to Stamp Out Your Festival Carbon Footprint|[]|surprise|"[[""festival carbon footprint"",""stamp out your festival carbon footprint""]]"|"[[""festival carbon footprint"",""stamp out your festival carbon footprint""]]"|True
c82dbc6f|Sport shorts: Juventus sign Matthijs de Ligt and Lando Norris urges Lewis Hamilton to ‘stick around’ in F1|[]|surprise|"[[""norris urges""],[""matthijs de ligt and lando norris""]]"|"[[""norris urges""],[""matthijs de ligt and lando norris""]]"|True
5dd658f6|Syrian woman's 2,200-mile journey to 'save' her daughter|"[""syrian woman's""]"|surprise|"[[""2,200-mile journey to 'save' her daughter""]]"|"[[""2,200-mile journey to 'save' her daughter""]]"|True
081a6cdb|TAC Bookshelf for the Week of July 22|[]|surprise|"[[""tac bookshelf for the week of july 22""]]"|"[[""tac bookshelf for the week of july 22""]]"|True
4fb6d2bb|TV networks are refusing to sell ads for anti-abortion movie 'Unplanned'|"[""tv networks""]"|surprise|"[[""anti-abortion movie 'Unplanned'""]]"|"[[""to sell ads for anti-abortion movie 'unplanned'""]]"|True
161e1acc|The Decathlon: ten things from the world of sport on 23 April|"[""the decathlon""]"|surprise|"[[""the world of sport on 23 april""]]"|"[[""the world of sport on 23 april""]]"|True
37cc0acd|The Decline of Our Nation’s Generals|[]|surprise|[[]]|"[[""the decline of our nation’s generals""]]"|True
c6f27cab|The Growing Obsession With Linking Iran to Terrorism|[]|surprise|"[[""linking iran to terrorism""]]"|"[[""linking iran to terrorism"",""the growing obsession with linking iran to terrorism""]]"|True
f51a7c2e|The Latest: Trump says threats led to carrier deployment|"[""trump""]"|surprise|"[[""the latest: trump says threats led to carrier deployment""]]"|"[[""the latest: trump says threats led to carrier deployment""]]"|True
5e5e149c|The Middle East Is Now Split Between Red States and Blue States|"[""the middle east""]"|surprise|[[]]|"[[""split between red states and blue states"",""between red states and blue states""]]"|True
adf12e68|The Navy is officially taking UFOs seriously|"[""the navy""]"|surprise|"[[""ufos""]]"|"[[""ufos seriously""]]"|True
05be8a16|The New Republic Continues Expansion with Editorial Hires|"[""the new republic""]"|surprise|"[[""continues expansion with editorial hires""]]"|"[[""continues expansion with editorial hires""]]"|True
2c388c91|The Scrambled Logic of Trump’s New Attempt to Kill Obamacare|"[""trump’s""]"|anger|"[[""trump""]]"|"[[""new attempt to kill obamacare""]]"|True
ae86fdfb|The Tenants’ Rights Movement Is Expanding Beyond Big Cities|[]|surprise|"[[""beyond""]]"|"[[""the tenants’ rights movement is expanding beyond big cities""]]"|True
8989e390|The U.S. Women's Soccer Team Is Literal Goals|[]|surprise|"[[""the u.s. women's soccer""]]"|"[[""is literal goals""]]"|True
2c787361|The use of banned drugs is rife in sport|[]|surprise|"[[""the use of banned drugs is rife in sport""]]"|"[[""the use of banned drugs is rife in sport""]]"|True
f62a9fe1|These 4 Arguments Can’t Overcome the Facts About Carbon Offsets for Forest Preservation|[]|disgust|[[]]|[[]]|True
af24f197|They Should've Used This Song Father John Misty Wrote for 'A Star Is Born'|[]|surprise|"[[""misty wrote for 'a star is born'""]]"|"[[""misty wrote for 'a star is born'""]]"|True
c1015fe6|This Medical School in Japan Uses Facial Recognition for Attendance|"[""medical school""]"|surprise|"[[""uses facial recognition for attendance""]]"|"[[""uses facial recognition for attendance""]]"|True
816a7fd0|Top law firm increases salary for junior solicitors to £100,000|"[""top law firm""]"|surprise|"[[""salary for junior solicitors to £100,000""]]"|"[[""salary for junior solicitors to £100,000""]]"|True
8ce934ac|Trump Cutting $700 Million in Aid to Central America|[]|sadness|"[[""trump""]]"|"[[""cutting $700 million in aid to central america""]]"|True
cbc6be9b|Trump Doesn't Know a Thing About Baltimore|[]|disgust|"[[""thing about baltimore"",""trump""]]"|"[[""thing about baltimore""]]"|True
3cd4c73f|Trump Gets an ‘F’ for Libya|"[""trump""]"|anger|"[[""trump""]]"|"[[""‘f’ for libya""]]"|True
1fe2599a|Trump Slams India’s Tariffs On American Products, Says Country Has Been Having A ‘Field Day’|"[""trump""]"|surprise|"[[""trump""]]"|"[[""says country has been having a ‘field day’""]]"|True
505705ee|Trump Trolls Washington Foreign Policy Establishment|"[""trump""]"|surprise|"[[""washington foreign policy establishment""]]"|"[[""washington foreign policy establishment""]]"|True
aba5de91|Trump and Barr Could Stretch Executive Privilege and Grand Jury Secrecy Claims|"[""trump and barr""]"|sadness|"[[""executive privilege and grand jury secrecy claims""]]"|"[[""executive privilege and grand jury secrecy claims""]]"|True
61a4742d|Trump approval rating dips to 44 percent: poll|[]|surprise|"[[""rating dips to 44 percent: poll""]]"|"[[""rating dips to 44""]]"|True
4e609992|Trump on border: ‘It’s like Disneyland now’|"[""trump""]"|surprise|[[]]|"[[""trump on border: ‘it’s like disneyland now""]]"|True
9eba284c|Trump says 'absolutely broken' Iran will face major new sanctions|"[""trump""]"|surprise|"[[""iran will face major new sanctions""]]"|"[[""iran will face major new sanctions""]]"|True
97ede59c|USA Today Sports Attacks on 'Raging' Trump Appear To Be Coordinated Media Campaign|[]|disgust|"[[""trump""]]"|"[[""appear to be coordinated media campaign""]]"|True
3f604c4f|Video of The Left Worshipping Abortion Shocks The World|[]|surprise|[[]]|[[]]|True
967cc41b|What Western Media Got Wrong About China’s Blockbuster ‘The Wandering Earth’|"[""western media""]"|surprise|"[[""blockbuster""],[""‘the wandering earth’""]]"|"[[""blockbuster""],[""‘the wandering earth’""]]"|True
ce17d8e3|Whiplash warning! Ben Shapiro shows how stunningly fast Adam Schiff & Dems changed direction on what constitutes a ‘cover-up’|"[""ben shapiro""]"|surprise|"[[""adam schiff""]]"|"[[""changed direction on what constitutes a ‘cover-up’""]]"|True
290b99b5|World leaders have 'a lot to answer for' over damning figures on education|"[""world leaders""]"|surprise|"[[""to answer for' over damning figures on education""]]"|"[[""world leaders have 'a lot to answer for' over damning figures on education""]]"|True
a695eadf|You Can Now See Who's Contributing to 2020 Presidential Campaigns by State|[]|surprise|"[[""2020 presidential campaigns by state""]]"|"[[""2020 presidential campaigns by state""]]"|True
670e717b|‘I can’t think of one thing’: Lindsey Graham gives four reasons why the idea that Trump obstructed justice is ‘absurd’|"[""trump""]"|anger|"[[""obstructed justice is ‘absurd’""]]"|"[[""obstructed justice is ‘absurd’""]]"|True
bb42f389|‘This is rich’! Hillary Clinton’s lecture about who’s not ‘above the law’ sets a new facepalm record|[]|disgust|[[]]|[[]]|True
98b20733|'Black Mirror' Season 5 first look has arrived|[]|surprise|"[[""season 5 first""]]"|"[[""season 5 first look has arrived""]]"|True
ec4001f0|Amazon Offered Job to Pentagon Official Involved With $10 Billion Contract It Sought|"[""amazon""]"|surprise|"[[""$10 billion contract it sought""],[""pentagon official""]]"|"[[""$10 billion contract it sought""]]"|True
ce243429|Beto O’Rourke Plans to Give Minority Americans More Loans|"[""beto o’rourke""]"|surprise|"[[""minority americans""]]"|"[[""plans to give minority americans more loans"",""give minority americans more loans""]]"|True
24f76268|Dow rises nearly 200 points at 27,363 -- surpasses July 15 closing record at 27,359.16|"[""dow""]"|surprise|"[[""200 points at 27,363 -- surpasses july 15 closing record at 27,359.16""]]"|"[[""surpasses july 15 closing record at 27,359.16""]]"|True
7c8886c4|Egypt election commission says voters have approved amendments allowing President el-Sissi to stay in power until 2030|[]|surprise|"[[""President el-Sissi""]]"|"[[""have approved amendments allowing president el-sissi to stay in power until 2030""]]"|True
4c0c3254|Feinstein to introduce bill raising age to purchase assault weapons after California shooting|"[""feinstein""]"|surprise|"[[""introduce bill raising age to purchase assault weapons after california shooting""]]"|"[[""introduce bill raising age to purchase assault weapons after california shooting""]]"|True
de7d5e3f|Jason Rantz Guest Hosting: Antifa Takes over Portland, Blue Checkmarks Cheer|"[""jason rantz""]"|joy|"[[""antifa takes over portland, blue checkmarks cheer""]]"|"[[""antifa takes over portland, blue checkmarks cheer""]]"|True
5b297ff2|Lawmaker Aims To Curb Social Media Addiction With New Bill|"[""lawmaker""]"|surprise|"[[""curb social media addiction""]]"|"[[""curb social media addiction with new bill""]]"|True
40b9e976|Matt Gaetz: 'America First' Means Protecting U.S. Border Before Avenging Japanese Vessels|"[""matt gaetz""]"|surprise|"[[""america first' means protecting u.s. border before avenging japanese vessels""]]"|"[[""america first' means protecting u.s. border before avenging japanese vessels""]]"|True
7b1d6b40|Method Man Gives Us Some Brilliant Work Advice|[]|surprise|"[[""man""]]"|"[[""some brilliant work advice""]]"|True
a8a99875|Near the Comite, people who flooded in 2016 anxious about Hurricane Barry river forecasts|"[""comite""]"|fear|"[[""hurricane barry river forecasts""]]"|"[[""hurricane barry river forecasts""]]"|True
c0a68f34|Nevada Democrats pass bill to restore voting rights of 77,000 people|"[""nevada democrats""]"|joy|"[[""pass bill to restore voting rights of 77,000 people""]]"|"[[""pass bill to restore voting rights of 77,000 people""]]"|True
2202c122|One restaurant's simple approach to fighting food waste|[]|surprise|"[[""simple approach to fighting food waste"",""one restaurant's simple approach to fighting food waste""]]"|"[[""simple approach to fighting food waste""]]"|True
4b49235d|Sudanese activists, army finalize power-sharing deal|"[""sudanese activists""]"|surprise|"[[""army""]]"|"[[""finalize power-sharing deal""]]"|True
8bfa3c88|Trump’s sanctions on Iran are hitting Hezbollah hard|"[""trump""]"|disgust|"[[""iran""]]"|"[[""hitting hezbollah hard""]]"|True
2c69ca8f|US Economy Adds 164,000 Jobs In July, Unemployment Stays The Same|[]|surprise|"[[""us economy"",""adds 164,000 jobs in july, unemployment stays the same""]]"|"[[""adds 164,000 jobs in july, unemployment stays the same""]]"|True
d325db58|3500 Migrants Apprehended over 3 Days in One Texas Border Sector|"[""3500 migrants""]"|fear|"[[""apprehended over 3 days in one texas border sector""]]"|"[[""apprehended over 3 days in one texas border sector""]]"|True
b4e4b97f|70% Of The Materials Used To Make IKEA Products In 2018 Were Either Renewable Or Recycled|"[""materials""]"|surprise|"[[""to make ikea products in 2018 were either renewable or recycled""]]"|"[[""were either renewable or recycled""]]"|True
ef6929ed|8 grilling mistakes that will screw up your Memorial Day cookout|[]|surprise|"[[""that will screw up your memorial day cookout""]]"|"[[""that will screw up your memorial day cookout""]]"|True
15849c98|8-Year-Old Boy Saves Sister From Kidnapping|"[""8-year-old boy""]"|surprise|"[[""saves sister from kidnapping""]]"|"[[""saves sister from kidnapping""]]"|True
401f04ee|A Parrot Named Freddy Krueger Is Alive And Well After A 4-Year Nightmare|"[""parrot""]"|surprise|"[[""freddy krueger""]]"|"[[""freddy krueger""]]"|True
579ee98e|Anonymous Donor Gives $25 Million To Childrenand#039;s Hospital Los Angeles|"[""anonymous""]"|surprise|"[[""s hospital los angeles""]]"|"[[""s hospital los angeles""]]"|True
b2a4fa31|Another interview with a Biden advisor about his Hyde Amendment flip-flop doesn’t go so well|"[""biden""]"|surprise|"[[""hyde amendment flip-flop doesn’t go so well""]]"|"[[""hyde amendment flip-flop doesn’t go so well""]]"|True
c122a77c|Bias Complaint Filed over Joke about Janet Jackson Nipple Incident|[]|disgust|"[[""janet jackson""]]"|"[[""janet jackson nipple incident""]]"|True
291ac1d7|Businessman Is Donating 10,000 Bikes To Kids Who Walk Miles To School|"[""businessman""]"|surprise|"[[""donating 10,000 bikes to kids who walk miles to school""]]"|"[[""donating 10,000 bikes to kids who walk miles to school""]]"|True
24d146d9|Cher Experiences Brief Moment of Lucidity – Questions Democrats’ Open Border Policy|"[""cher""]"|surprise|"[[""questions democrats’ open border policy""]]"|"[[""questions democrats’ open border policy""]]"|True
84011dac|Children make parents happy, after all|"[""children""]"|joy|"[[""parents""]]"|"[[""parents happy, after all""]]"|True
19d3e108|Clashes break out at Jerusalem holy site|[]|surprise|"[[""jerusalem holy site""]]"|"[[""jerusalem holy site"",""break out at jerusalem holy site""]]"|True
7724e2de|Climate Change Is This Generation’s Vietnam War|"[""climate change""]"|sadness|"[[""this generation’s vietnam war""]]"|"[[""this generation’s vietnam war""]]"|True
3e6c6679|Community Raises Money To Pay For Elementary School Janitorand#039;s Medical Bills|"[""community""]"|surprise|"[[""elementary school janitorand"",""s medical bills""]]"|"[[""s medical bills""]]"|True
02a9dc62|Consumers benefit from Demotech Support of Private Flood Insurance Carriers|"[""consumers""]"|surprise|"[[""demotech""]]"|"[[""private flood insurance carriers""]]"|True
b21a40cc|Del Potro beats Shapovalov on another rain-hit day at Queen’s Club|[]|joy|"[[""del potro""]]"|"[[""on another rain-hit day at queen’s club"",""del potro beats shapovalov on another rain-hit day at queen’s club""]]"|True
1da7fb20|Democrats Are Losing This Made-for-TV Moment|"[""democrats""]"|surprise|"[[""this made-for-tv moment""]]"|"[[""this made-for-tv moment""]]"|True
cb096c64|Despite Trump’s $4 trillion promise, corporate profits are mostly staying abroad|"[""trump’s""]"|surprise|"[[""corporate profits are mostly staying abroad""]]"|"[[""corporate profits are mostly staying abroad""]]"|True
1fe930a7|Devin Nunes’s Ridiculous Lawsuit Is a Masterpiece of Republican Grievance|"[""devin nunes’""]"|anger|"[[""ridiculous lawsuit is a masterpiece of republican grievance""]]"|"[[""ridiculous lawsuit is a masterpiece of republican grievance""]]"|True
6b681152|Dolly Parton Donates $200,000 To Volunteer Firefighters|"[""dolly parton""]"|surprise|"[[""$200,000 to volunteer firefighters""]]"|"[[""$200,000 to volunteer firefighters"",""donates $200,000 to volunteer firefighters""]]"|True
